研途考研VIP,                    考研概念不清晰？名师帮你解惑→O网页链接即将售罄，戳↑速抢！☛4本考研手册+6节名师课+500元代金卡☛1¥包邮（原价¥299）已有7万人加入@张雪峰老师 @考研政治徐涛 @屠皓民老师 @考研数学杨超  四位名师加持，助你明确院校选择，科学备考！ ​                ,2018年07月10日 14:29,微博 weibo.com,有,, 64, 107,146,http://weibo.com/5861733389?refer_flag=1001030103_
央视新闻,                    【明天，考研开始网上报名！一定要看的注意事项！转！】2019全国硕士研究生招生考试，网上正式报名时间为10月10日至10月31日，报名前，一定要仔细看完这些注意事项！转给考研的TA！ ​                ,2018年10月09日 08:03,微博 weibo.com,有,, 7421, 2472,7251,http://weibo.com/2656274875?refer_flag=1001030103_
央视新闻,                    【今天，2019考研网上报名开始！这些流程你必须知道】为你奉上网报流程详解！转给考研党↓↓祝福！加油！ ​                ,2018年10月10日 07:00,微博 weibo.com,有,, 5715, 1405,5039,http://weibo.com/2656274875?refer_flag=1001030103_
何凯文,                    【2019考研网上正式报名明天开始，注意这35个填报细节！】1.报名时间为10月10日至31日每天9点至22点；（我在想我什么时候报名）2.报名期间，考生可修改或重填报名信息，但一位考生只能保留一条有效报名信息。（你报哪里？看看有多少人一起？）看看还有什么需要注意的？@人民日报 ​                ,2018年10月09日 11:02,iPhone X,有,, 1180, 679,1346,http://weibo.com/1742944894?refer_flag=1001030103_
院草爱喝一点点,                    "不必要求所有人都像我一样有趣，只需要尽量取悦自己。我要买一些考研的书籍，买个ipad，买一个手机，还需要一个降噪耳机。再买一些可以被拍照的衣服，一双喜欢的鞋。差不多就这些。” ​                ,2018年10月10日 14:3,Weibo.intl,有,, , ,,http://weibo.com/2713292910?refer_flag=1001030103_
大公鸡家的小公鸡,                    A:“为什么读研比考研还累” B:“如果你抱着＇高考结束，考上大学就轻松了＇的心态读研，那就没必要拼尽全力考上了！如果你抱着＇提升自己想多学点东西＇的心态读研，那你就会觉得虽然很累但很充实”                           ——怀念备考的那段时光                ,2018年08月22日 04:05,秒拍网页版,无,, , ,,http://weibo.com/3294931673?refer_flag=1001030103_
勤奋烤盐,                    奇妙的事情随时都能发生啊。写着音高的本子是当年考研要拿来记现代汉语笔记的，不知为什么搁置了没用它。如今拿来打算用它记教资，随手一翻才看到，没想到此时此刻上的课就是现代汉语 2长春·逸夫教学楼 ​                ,2018年10月10日 14:2,HUAWEI nova 2s,有,, , ,,http://weibo.com/3017582295?refer_flag=1001030103_
lavaFOX看电影学英语,                    【英语作文加分表达】开头、过渡、承接、结尾等各类句式，学生党、考研党都可以收藏下来，多练多用，效果明显！ ​ ​​​​                ,2018年10月10日 08:12,微博 weibo.com,有,, 19, 1,16,http://weibo.com/5174941009?refer_flag=1001030103_
天津大学,                    #考研#【今天，2019考研网上报名开始！这些流程你必须知道】为你奉上网报流程详解！转给考研党↓↓祝福！加油！ ​                ,2018年10月10日 14:2,皮皮时光机,有,, , 1,,http://weibo.com/1871729063?refer_flag=1001030103_
一朵小小的小小花,                    这些年，走了不少弯路看着辛苦考来的教师资格证，不知是悲是喜一次又一次的考研失利，不知是否该继续追梦岁月蹉跎、人心已老 ​                ,2018年10月10日 14:1,iPhone客户端,无,, , ,,http://weibo.com/1727760462?refer_flag=1001030103_
河南省教育网,                    【一个人如何提高你的英语口语？】易学实用的方法，做到这些，你一个人也可以把口语练好！四六级、考研面试都用得到哦~LVOA英文口语的秒拍视频 ​                ,2018年10月10日 14:1,微博 weibo.com,无,, , 1,1,http://weibo.com/3500593277?refer_flag=1001030103_
海峡都市报,                    【今天，2019考研网上报名开始！这些流程你必须知道】为你奉上网报流程详解！转给考研党↓↓祝福！加油！ ​（央视新闻） ​                ,2018年10月10日 14:1,微博 weibo.com,有,, , ,1,http://weibo.com/1698857957?refer_flag=1001030103_
